,chrom,description,end,geneSymbol,start
8572,chr15,"Homo sapiens small nucleolar RNA, C/D box 115-37 (SNORD115-37), small nucleolar RNA.",25483214,SNORD115-37,25483132
8573,chr15,"Homo sapiens small nucleolar RNA, C/D box 115-38 (SNORD115-38), small nucleolar RNA.",25485066,SNORD115-38,25484984
8574,chr15,"Homo sapiens small nucleolar RNA, C/D box 115-39 (SNORD115-39), small nucleolar RNA.",25486974,SNORD115-39,25486892
8575,chr15,"Homo sapiens small nucleolar RNA, C/D box 115-40 (SNORD115-40), small nucleolar RNA.",25488842,SNORD115-40,25488760
8576,chr15,"Homo sapiens small nucleolar RNA, C/D box 115-41 (SNORD115-41), small nucleolar RNA.",25490706,SNORD115-41,25490624
8577,chr15,"Homo sapiens small nucleolar RNA, C/D box 115-44 (SNORD115-44), small nucleolar RNA.",25496087,SNORD115-44,25496005
8578,chr15,"Homo sapiens small nucleolar RNA, C/D box 115-45 (SNORD115-45), small nucleolar RNA.",25509726,SNORD115-45,25509673
8579,chr15,"Homo sapiens small nucleolar RNA, C/D box 115-47 (SNORD115-47), small nucleolar RNA.",25513696,SNORD115-47,25513663
8580,chr15,"Homo sapiens small nucleolar RNA, C/D box 115-48 (SNORD115-48), small nucleolar RNA.",25515005,SNORD115-48,25514929
8581,chr15,"Homo sapiens uncharacterized LOC100128714 (LOC100128714), non-coding RNA.",26298267,LOC100128714,26147506
8582,chr15,"Homo sapiens long intergenic non-protein coding RNA 929 (LINC00929), non-coding RNA.",26378184,LINC00929,26360959
8583,chr15,"Homo sapiens gamma-aminobutyric acid (GABA) A receptor, alpha 5 (GABRA5), transcript variant 1, mRNA.",27194357,GABRA5,27111865
8584,chr15,"Homo sapiens cDNA FLJ42682 fis, clone BRAMY2044317, moderately similar to Gamma-aminobutyric-acid receptor alpha-5 subunit precursor.",27194345,AK124673,27189907
8585,chr15,"Homo sapiens gamma-aminobutyric acid (GABA) A receptor, gamma 3 (GABRG3), transcript variant 1, mRNA.",27778373,GABRG3,27216428
8586,chr15,"Homo sapiens golgin A8 family, member G (GOLGA8G), non-coding RNA.",28778143,GOLGA8G,28623783
8587,chr15,"Homo sapiens golgin A8 family, member F (GOLGA8F), non-coding RNA.",28778143,GOLGA8F,28623783
8588,chr15,"Homo sapiens microRNA 4509-1 (MIR4509-1), microRNA.",28735991,MIR4509-1,22675147
8589,chr15,"Homo sapiens piRNA piR-41091, complete sequence.",83146447,DQ578700,28768940
8590,chr15,"Homo sapiens cDNA FLJ59579 complete cds, weakly similar to Homo sapiens golgi autoantigen, golgin subfamily a-like, mRNA.",28807725,LOC283767,28806018
8591,chr15,"Homo sapiens cDNA, FLJ18702.",28836269,AK311660,28834637
8592,chr15,"Homo sapiens cDNA, FLJ97818.",28887567,AK307870,28878268
8593,chr15,"Homo sapiens cDNA, FLJ97818.",28886727,AK309255,28878268
8594,chr15,"Homo sapiens piRNA piR-33454, complete sequence.",28895736,DQ593342,28895707
8595,chr15,"Homo sapiens hect domain and RLD 2 pseudogene 9 (HERC2P9), non-coding RNA.",28930410,HERC2P9,28896566
8596,chr15,"Homo sapiens piRNA piR-30673, complete sequence.",32692681,DQ597560,28954722
8597,chr15,"Homo sapiens WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2 (WHAMMP2), non-coding RNA.",29024285,WHAMMP2,28982728
8598,chr15,"Homo sapiens Dexi homolog (mouse) pseudogene (LOC100289656), non-coding RNA.",29034538,LOC100289656,29033388
8599,chr15,"Homo sapiens programmed cell death 6 interacting protein pseudogene (LOC646278), non-coding RNA.",29101720,LOC646278,29034979
8600,chr15,"Homo sapiens amyloid beta (A4) precursor protein-binding, family A, member 2 (APBA2), transcript variant 1, mRNA.",29410516,APBA2,29131167
8601,chr15,"Homo sapiens cDNA FLJ38742 fis, clone KIDNE2012009.",29971367,BC043570,29967193
8602,chr15,"Homo sapiens cDNA, FLJ17568.",30380247,AK310526,30375893
8603,chr15,"Homo sapiens piRNA piR-34751, complete sequence.",32895778,DQ596686,30385179
8604,chr15,"Homo sapiens piRNA piR-43852, complete sequence.",100340462,DQ575741,30393355
8605,chr15,"Homo sapiens unc-51-like kinase 4 (C. elegans) pseudogene 3 (ULK4P3), non-coding RNA.",32727434,ULK4P3,30395934
8606,chr15,"Homo sapiens golgin A8 family, member T (GOLGA8T), non-coding RNA.",30439395,GOLGA8T,30427989
8607,chr15,"Homo sapiens uncharacterized LOC26082 (DKFZP434L187), non-coding RNA.",30665668,DKFZP434L187,30488238
8608,chr15,"Homo sapiens piRNA piR-54999, complete sequence.",74355242,DQ587888,30687435
8609,chr15,"Homo sapiens piRNA piR-30254, complete sequence.",32729663,DQ594669,30688277
8610,chr15,"Homo sapiens piRNA piR-56361, complete sequence.",32729699,DQ596319,30688320
8611,chr15,"Homo sapiens piRNA piR-52407, complete sequence.",32729759,DQ585847,30688374
8612,chr15,"Homo sapiens piRNA piR-46481, complete sequence.",32729956,DQ589803,30688574
8613,chr15,"Homo sapiens piRNA piR-57726, complete sequence.",32730018,DQ593983,30688640
8614,chr15,"Homo sapiens piRNA piR-45444, complete sequence.",32730246,DQ583847,30688853
8615,chr15,"Homo sapiens piRNA piR-43396, complete sequence.",102305583,DQ599785,30688903
8616,chr15,"Homo sapiens piRNA piR-43354, complete sequence.",102305647,DQ575242,30688965
8617,chr15,"Homo sapiens piRNA piR-31233, complete sequence.",102307373,DQ586415,30691303
8618,chr15,Homo sapiens mRNA for FLJ00278 protein.,32891611,FLJ00278,30700507
8619,chr15,"Homo sapiens piRNA piR-32753, complete sequence.",30847044,DQ582641,30847017
8620,chr15,"Homo sapiens unc-51-like kinase 4 (C. elegans) pseudogene 1 (ULK4P1), non-coding RNA.",32727250,ULK4P1,30864757
8621,chr15,"Homo sapiens OTU domain containing 7A pseudogene (LOC100288637), transcript variant 2, non-coding RNA.",31065209,LOC100288637,30938316
8622,chr15,"Homo sapiens Rho GTPase activating protein 11B (ARHGAP11B), mRNA.",30977810,ARHGAP11B,30916696
8623,chr15,"Homo sapiens cDNA, FLJ17072.",30918469,AK310030,30916696
8624,chr15,"Homo sapiens hect domain and RLD 2 pseudogene 10 (HERC2P10), non-coding RNA.",31119986,HERC2P10,31110238
8625,chr15,"Homo sapiens FANCD2/FANCI-associated nuclease 1 (FAN1), transcript variant 1, mRNA.",31235310,FAN1,31196054
8626,chr15,Synthetic construct Homo sapiens gateway clone IMAGE:100022978 3' read TRPM1 mRNA.,31453476,TRPM1,31293263
8627,chr15,"Homo sapiens Kruppel-like factor 13 (KLF13), mRNA.",31670102,KLF13,31619082
8628,chr15,"Homo sapiens cDNA FLJ36439 fis, clone THYMU2012401.",31696111,AK093758,31685045
8629,chr15,"Homo sapiens cholinergic receptor, nicotinic, alpha 7 (neuronal) (CHRNA7), transcript variant 1, mRNA.",32462384,CHRNA7,32322685
8630,chr15,Homo sapiens clone HLS_IMAGE_295116 mRNA sequence.,32450313,DQ786280,32449483
8631,chr15,"Homo sapiens piRNA piR-52407, complete sequence.",34813860,DQ585295,32678126
8632,chr15,"Homo sapiens piRNA piR-57506, complete sequence.",102305318,DQ590394,32678391
8633,chr15,"Homo sapiens uncharacterized LOC100996255 (LOC100996255), non-coding RNA.",32872810,LOC100996255,32828959
8634,chr15,"Homo sapiens cDNA, FLJ17083.",32889841,AK310041,32888448
8635,chr15,RecName: Full=Putative golgin subfamily A member 6-like protein 11;,32893206,LOC643699,30698915
8636,chr15,"Homo sapiens Rho GTPase activating protein 11A (ARHGAP11A), transcript variant 1, mRNA.",32931868,ARHGAP11A,32907344
8637,chr15,"Homo sapiens secretogranin V (7B2 protein) (SCG5), transcript variant 1, mRNA.",32989298,SCG5,32933869
8638,chr15,"Homo sapiens cDNA FLJ32455 fis, clone SKNMC1000010.",32963900,C15orf45,32962079
8639,chr15,"Homo sapiens gremlin 1, DAN family BMP antagonist (GREM1), transcript variant 2, mRNA.",33026870,GREM1,33010204
8640,chr15,"Homo sapiens ryanodine receptor 3 (RYR3), transcript variant 1, mRNA.",34158303,RYR3,33603176
8641,chr15,"Homo sapiens cholinergic receptor, muscarinic 5 (CHRM5), mRNA.",34357287,CHRM5,34261088
8642,chr15,"Homo sapiens piggyBac transposable element derived 4 (PGBD4), mRNA.",34396591,PGBD4,34394273
8643,chr15,"Homo sapiens ER membrane protein complex subunit 4 (EMC4), mRNA.",34522352,EMC4,34517244
8644,chr15,"Homo sapiens NUT midline carcinoma, family member 1 (NUTM1), mRNA.",34649931,NUTM1,34635515
8645,chr15,"Homo sapiens piRNA piR-30576, complete sequence.",34812880,DQ570464,34812854
8646,chr15,"Homo sapiens cDNA FLJ34768 fis, clone NT2NE2002791.",35105124,AK092087,35047284
8647,chr15,"Homo sapiens PRO1914 mRNA, complete cds.",35272181,BC069776,35270689
8648,chr15,"Homo sapiens acidic (leucine-rich) nuclear phosphoprotein 32 family, member A pseudogene 1 (ANP32AP1), non-coding RNA.",35530264,ANP32AP1,35529526
8649,chr15,"Homo sapiens DPH6 antisense RNA 1 (head to head) (DPH6-AS1), non-coding RNA.",36151202,DPH6-AS1,35838395
8650,chr15,"Homo sapiens microRNA 4510 (MIR4510), microRNA.",36219124,MIR4510,36219056
8651,chr15,"Homo sapiens chromosome 15 open reading frame 41 (C15orf41), transcript variant 1, mRNA.",37102449,C15orf41,36871811
8652,chr15,"Homo sapiens transmembrane and coiled-coil domains 5A (TMCO5A), mRNA.",38259925,TMCO5A,38226826
8653,chr15,"Homo sapiens, clone IMAGE:5755094, mRNA.",38332682,BC039545,38276966
8654,chr15,"Homo sapiens sprouty-related, EVH1 domain containing 1 (SPRED1), mRNA.",38649450,SPRED1,38545051
8655,chr15,"Homo sapiens family with sequence similarity 98, member B (FAM98B), transcript variant 1, mRNA.",38777063,FAM98B,38746327
8656,chr15,"Homo sapiens chromosome 15 open reading frame 53 (C15orf53), mRNA.",38992239,C15orf53,38988798
8657,chr15,"Homo sapiens chromosome 15 open reading frame 54 (C15orf54), mRNA.",39547048,C15orf54,39542884
8658,chr15,"Homo sapiens thrombospondin 1 (THBS1), mRNA.",39889668,THBS1,39873279
8659,chr15,"Homo sapiens eukaryotic translation initiation factor 2 alpha kinase 4 (EIF2AK4), mRNA.",40327797,EIF2AK4,40226346
8660,chr15,"Homo sapiens SRP14 antisense RNA1 (head to head) (SRP14-AS1), transcript variant 1, non-coding RNA.",40359710,SRP14-AS1,40331511
8661,chr15,"Homo sapiens p21 protein (Cdc42/Rac)-activated kinase 6 (PAK6), transcript variant 2, mRNA.",40569688,PAK6,40509628
8662,chr15,"Homo sapiens BUB1 mitotic checkpoint serine/threonine kinase B (BUB1B), mRNA.",40513337,BUB1B,40453209
8663,chr15,"Homo sapiens cDNA FLJ41776 fis, clone IMR322013053.",40618914,AL832909,40616680
8664,chr15,"Homo sapiens proline/histidine/glycine-rich 1 (PHGR1), mRNA.",40648634,PHGR1,40643233
8665,chr15,"Homo sapiens dispatched homolog 2 (Drosophila) (DISP2), mRNA.",40663256,DISP2,40650433
8666,chr15,"Homo sapiens kinetochore-localized astrin/SPAG5 binding protein (KNSTRN), transcript variant 2, mRNA.",40686489,KNSTRN,40674921
8667,chr15,"Homo sapiens isovaleryl-CoA dehydrogenase (IVD), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.",40713512,IVD,40697685
8668,chr15,"Homo sapiens bromo adjacent homology domain containing 1 (BAHD1), mRNA.",40760441,BAHD1,40731919
8669,chr15,"Homo sapiens carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14 (CHST14), mRNA.",40765357,CHST14,40763159
8670,chr15,"Homo sapiens RNA pseudouridylate synthase domain containing 2 (RPUSD2), mRNA.",40866661,RPUSD2,40861530
8671,chr15,"Homo sapiens cancer susceptibility candidate 5 (CASC5), transcript variant 1, mRNA.",40954881,CASC5,40886446
8672,chr15,"Homo sapiens RAD51 homolog (S. cerevisiae) (RAD51), transcript variant 1, mRNA.",41024356,RAD51,40987326
8673,chr15,"Homo sapiens GTP cyclohydrolase I feedback regulator (GCHFR), mRNA.",41059911,GCHFR,41056284
8674,chr15,"Homo sapiens chromosome 15 open reading frame 62 (C15orf62), mRNA.",41064648,C15orf62,41062158
8675,chr15,"Homo sapiens zinc finger, FYVE domain containing 19 (ZFYVE19), transcript variant 3, mRNA.",41106767,ZFYVE19,41099273
8676,chr15,"Homo sapiens serine peptidase inhibitor, Kunitz type 1 (SPINT1), transcript variant 2, mRNA.",41149853,SPINT1,41136245
8677,chr15,"Homo sapiens vacuolar protein sorting 18 homolog (S. cerevisiae) (VPS18), mRNA.",41196173,VPS18,41186627
8678,chr15,Homo sapiens cDNA clone IMAGE:4838562.,41201539,BC031952,41199008
8679,chr15,"Homo sapiens delta-like 4 (Drosophila) (DLL4), mRNA.",41231258,DLL4,41221530
8680,chr15,"Homo sapiens ChaC, cation transport regulator homolog 1 (E. coli) (CHAC1), transcript variant 2, mRNA.",41248717,CHAC1,41245635
8681,chr15,"Homo sapiens calcineurin-like EF-hand protein 1 (CHP1), mRNA.",41574083,CHP1,41523436
8682,chr15,"Homo sapiens OIP5 antisense RNA 1 (OIP5-AS1), non-coding RNA.",41591795,OIP5-AS1,41576200
8683,chr15,"Homo sapiens cDNA FLJ35256 fis, clone PROST2004095.",41598726,BC067230,41594572
8684,chr15,"Homo sapiens nucleolar and spindle associated protein 1 (NUSAP1), transcript variant 2, mRNA.",41673248,NUSAP1,41624891
8685,chr15,"Homo sapiens Rtf1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae) (RTF1), mRNA.",41775761,RTF1,41709301
8686,chr15,"Homo sapiens inositol-trisphosphate 3-kinase A (ITPKA), mRNA.",41795757,ITPKA,41786055
8687,chr15,"Homo sapiens TYRO3 protein tyrosine kinase (TYRO3), mRNA.",41871536,TYRO3,41851219
8688,chr15,"Homo sapiens MGA, MAX dimerization protein (MGA), transcript variant 1, mRNA.",42062141,MGA,41913763
8689,chr15,"Homo sapiens microRNA 626 (MIR626), microRNA.",41983876,MIR626,41983782
8690,chr15,"Homo sapiens mitogen-activated protein kinase binding protein 1 (MAPKBP1), transcript variant 1, mRNA.",42120053,MAPKBP1,42066631
8691,chr15,Homo sapiens cDNA clone IMAGE:4795866.,42102743,BC045779,42100588
8692,chr15,"Homo sapiens JMJD7-PLA2G4B readthrough (JMJD7-PLA2G4B), transcript variant 1, mRNA.",42140346,JMJD7-PLA2G4B,42120282
8693,chr15,"Homo sapiens phospholipase A2, group IVB (cytosolic) (PLA2G4B), mRNA.",42140346,PLA2G4B,42128978
8694,chr15,"Homo sapiens jumonji domain containing 7 (JMJD7), mRNA.",42132428,JMJD7,42120282
8695,chr15,"Homo sapiens calpain 3, (p94) (CAPN3), transcript variant 1, mRNA.",42704515,CAPN3,42640300
8696,chr15,"Homo sapiens glucosidase, alpha; neutral C (GANC), mRNA.",42645864,GANC,42565855
8697,chr15,"Homo sapiens synaptosomal-associated protein, 23kDa (SNAP23), transcript variant 1, mRNA.",42825259,SNAP23,42787503
8698,chr15,"Homo sapiens HAUS augmin-like complex, subunit 2 (HAUS2), transcript variant 1, mRNA.",42862190,HAUS2,42841010
8699,chr15,"Homo sapiens StAR-related lipid transfer (START) domain containing 9 (STARD9), mRNA.",43013196,STARD9,42867856
8700,chr15,Homo sapiens cDNA clone IMAGE:5272626.,43035400,BC037861,43030612
8701,chr15,"Homo sapiens cyclin D-type binding-protein 1 (CCNDBP1), transcript variant 1, mRNA.",43489375,CCNDBP1,43477465
8702,chr15,"Homo sapiens transmembrane protein 62 (TMEM62), mRNA.",43477341,TMEM62,43425721
8703,chr15,"Homo sapiens adenosine deaminase-like (ADAL), transcript variant 1, mRNA.",43646096,ADAL,43622871
8704,chr15,"Homo sapiens tubulin, gamma complex associated protein 4 (TUBGCP4), mRNA.",43698240,TUBGCP4,43663312
8705,chr15,"Homo sapiens microtubule-associated protein 1A (MAP1A), mRNA.",43823818,MAP1A,43809805
8706,chr15,"Homo sapiens creatine kinase, mitochondrial 1B (CKMT1B), nuclear gene encoding mitochondrial protein, mRNA.",43891604,CKMT1B,43885251
8707,chrX,"Homo sapiens RNA, U6 small nuclear 28, pseudogene (RNU6-28P), small nuclear RNA.",110664835,RNU6-28P,43894786
8708,chr15,"Homo sapiens creatine kinase, mitochondrial 1A (CKMT1A), nuclear gene encoding mitochondrial protein, mRNA.",43991420,CKMT1A,43985083
8709,chr15,"Homo sapiens protein disulfide isomerase family A, member 3 (PDIA3), mRNA.",44064804,PDIA3,44038589
8710,chr15,"Homo sapiens SERF2-C15orf63 readthrough (SERF2-C15ORF63), non-coding RNA.",44094769,SERF2-C15ORF63,44084173
8711,chr15,"Homo sapiens small EDRK-rich factor 2 (SERF2), transcript variant 4, mRNA.",44088287,SERF2,44069293
8712,chr15,"Homo sapiens huntingtin interacting protein K (HYPK), transcript variant 1, mRNA.",44095241,HYPK,44091555
8713,chr15,"Homo sapiens elongation factor RNA polymerase II-like 3, mRNA (cDNA clone IMAGE:5093466), partial cds.",44070150,BC062349,44068695
8714,chr15,"Homo sapiens WD repeat domain 76 (WDR76), transcript variant 2, mRNA.",44160617,WDR76,44119111
8715,chr15,"Homo sapiens cancer susceptibility candidate 4 (CASC4), transcript variant 1, mRNA.",44707959,CASC4,44580908
8716,chr15,"Homo sapiens CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2 (CTDSPL2), mRNA.",44819429,CTDSPL2,44719578
8717,chr15,"Homo sapiens eukaryotic translation initiation factor 3, subunit J (EIF3J), mRNA.",44855001,EIF3J,44829265
8718,chr15,"Homo sapiens beta-2-microglobulin (B2M), mRNA.",45010357,B2M,45003684
8719,chr15,"Homo sapiens tripartite motif containing 69 (TRIM69), transcript variant a, mRNA.",45060025,TRIM69,45021218
8720,chr15,"Homo sapiens chromosome 15 open reading frame 43 (C15orf43), mRNA.",45271421,C15orf43,45248899
8721,chr15,"Homo sapiens sorbitol dehydrogenase (SORD), transcript variant 1, mRNA.",45367287,SORD,45315301
8722,chr15,"Homo sapiens dual oxidase maturation factor 2 (DUOXA2), mRNA.",45410301,DUOXA2,45406522
8723,chr15,"Homo sapiens dual oxidase 1 (DUOX1), transcript variant 1, mRNA.",45457774,DUOX1,45422191
8724,chr15,"Homo sapiens solute carrier family 28 (sodium-coupled nucleoside transporter), member 2 (SLC28A2), mRNA.",45568132,SLC28A2,45544427
8725,chr15,"Homo sapiens GATM antisense RNA 1 (GATM-AS1), non-coding RNA.",45672321,GATM-AS1,45670897
8726,chr15,"Homo sapiens spermatogenesis associated 5-like 1 (SPATA5L1), transcript variant 2, non-coding RNA.",45713616,SPATA5L1,45694518
8727,chr15,"Homo sapiens chromosome 15 open reading frame 48 (C15orf48), transcript variant 1, mRNA.",45725647,C15orf48,45722726
8728,chr15,"Homo sapiens microRNA 147b (MIR147B), microRNA.",45725327,MIR147B,45725247
8729,chr15,"Homo sapiens cDNA FLJ32124 fis, clone PEBLM1000180.",45771942,AK056686,45742462
8730,chr15,"Homo sapiens high mobility group nucleosomal binding domain 2 pseudogene 46 (HMGN2P46), non-coding RNA.",45848928,HMGN2P46,45803333
8731,chr15,"Homo sapiens biogenesis of lysosomal organelles complex-1, subunit 6, pallidin (BLOC1S6), mRNA.",45901909,BLOC1S6,45879416
8732,chr15,"Homo sapiens sulfide quinone reductase-like (yeast) (SQRDL), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.",45983492,SQRDL,45923345
8733,chr15,"Homo sapiens sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D (SEMA6D), transcript variant 4, mRNA.",48066420,SEMA6D,47476402
8734,chr15,"Homo sapiens solute carrier family 24, member 5 (SLC24A5), mRNA.",48434589,SLC24A5,48413168
8735,chr15,"Homo sapiens solute carrier family 12 (sodium/potassium/chloride transporters), member 1 (SLC12A1), transcript variant 1, mRNA.",48596275,SLC12A1,48483866
8736,chr15,"Homo sapiens cortexin 2 (CTXN2), mRNA.",48495951,CTXN2,48483866
8737,chr15,"Homo sapiens deoxyuridine triphosphatase (DUT), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.",48635570,DUT,48623620
8738,chr15,"Homo sapiens EP300 interacting inhibitor of differentiation 1 (EID1), mRNA.",49172380,EID1,49170289
8739,chr15,"Homo sapiens galactokinase 2 (GALK2), transcript variant 2, mRNA.",49622002,GALK2,49447975
8740,chr15,"Homo sapiens NADH dehydrogenase (ubiquinone) complex I, assembly factor 4 pseudogene 1 (NDUFAF4P1), non-coding RNA.",49450822,NDUFAF4P1,49448494
8741,chr15,"Homo sapiens fibroblast growth factor 7 (FGF7), mRNA.",49779523,FGF7,49715374
8742,chr15,"Homo sapiens DTW domain containing 1 (DTWD1), transcript variant 1, mRNA.",49937333,DTWD1,49913225
8743,chr15,"Homo sapiens solute carrier family 27 (fatty acid transporter), member 2 (SLC27A2), transcript variant 1, mRNA.",50528589,SLC27A2,50474392
8744,chr15,"Homo sapiens GABPB1 antisense RNA 1 (GABPB1-AS1), non-coding RNA.",50650503,GABPB1-AS1,50646370
8745,chr15,Homo sapiens mRNA; cDNA DKFZp686O15152 (from clone DKFZp686O15152).,50650503,BX537481,50647663
8746,chr15,"Homo sapiens microRNA 4712 (MIR4712), microRNA.",50652607,MIR4712,50652525
8747,chr15,"Homo sapiens ubiquitin specific peptidase 8 (USP8), transcript variant 3, mRNA.",50793277,USP8,50716578
8748,chr15,"Homo sapiens adaptor-related protein complex 4, epsilon 1 subunit (AP4E1), transcript variant 1, mRNA.",51298097,AP4E1,51200868
8749,chr15,"Homo sapiens DDB1 and CUL4 associated factor 13 pseudogene 3 (DCAF13P3), non-coding RNA.",51238762,DCAF13P3,51236325
8750,chr15,"Homo sapiens microRNA 4713 (MIR4713), microRNA.",51534461,MIR4713,51534386
8751,chr15,"Homo sapiens gliomedin (GLDN), mRNA.",51700209,GLDN,51633712
8752,chr15,"Homo sapiens secretogranin III (SCG3), transcript variant 1, mRNA.",52013223,SCG3,51973549
8753,chr15,"Homo sapiens tropomodulin 2 (neuronal) (TMOD2), transcript variant 1, mRNA.",52108558,TMOD2,52043757
8754,chr15,"Homo sapiens tropomodulin 3 (ubiquitous) (TMOD3), mRNA.",52221651,TMOD3,52121824
8755,chr15,"Homo sapiens clone cD1, mRNA sequence.",52204339,AF188711,52201630
8756,chr15,"Homo sapiens mitogen-activated protein kinase 6 (MAPK6), mRNA.",52358462,MAPK6,52311410
8757,chr15,"Homo sapiens uncharacterized LOC100129973 (LOC100129973), non-coding RNA.",52498076,LOC100129973,52472222
8758,chr15,"Homo sapiens unc-13 homolog C (C. elegans) (UNC13C), mRNA.",54920806,UNC13C,54305100
8759,chr15,"Homo sapiens phosphatidylinositol glycan anchor biosynthesis, class B (PIGB), mRNA.",55647846,PIGB,55611132
8760,chr15,"Homo sapiens uncharacterized LOC145788 (FLJ27352), mRNA.",55710910,FLJ27352,55700722
8761,chr15,"Homo sapiens testis expressed 9 (TEX9), mRNA.",56738072,TEX9,56657643
8762,chr15,"Homo sapiens transcription factor 12 (TCF12), transcript variant 1, mRNA.",57580714,TCF12,57210322
8763,chr15,"Homo sapiens long intergenic non-protein coding RNA 926 (LINC00926), non-coding RNA.",57599967,LINC00926,57592562
8764,chr15,"Homo sapiens cingulin-like 1 (CGNL1), transcript variant 1, mRNA.",57842925,CGNL1,57668702
8765,chr15,"Homo sapiens cDNA: FLJ23372 fis, clone HEP16070.",57842916,AL110171,57840992
8766,chr15,"Homo sapiens, clone IMAGE:4413555, mRNA.",57699476,BC015433,57669343
8767,chr15,"Homo sapiens GRINL1A complex locus 1 (GCOM1), transcript variant 1, mRNA.",58009755,GCOM1,57884101
8768,chr15,"Homo sapiens myocardial zonula adherens protein (MYZAP), transcript variant 1, mRNA.",57999153,MYZAP,57884101
8769,chr15,"Homo sapiens polymerase (RNA) II (DNA directed) polypeptide M (POLR2M), transcript variant 3, non-coding RNA.",58009755,POLR2M,57972895
8770,chr15,"Homo sapiens aquaporin 9 (AQP9), mRNA.",58478110,AQP9,58430394
8771,chr15,"Homo sapiens lipase, hepatic (LIPC), mRNA.",58861073,LIPC,58702774
8772,chr15,"Homo sapiens, clone IMAGE:4137880, mRNA.",58815570,BC034927,58813509
8773,chr15,"Homo sapiens family with sequence similarity 63, member B (FAM63B), transcript variant 1, mRNA.",59149734,FAM63B,59063392
8774,chr15,Homo sapiens cDNA clone IMAGE:4797580.,59154098,unknown,59152981
8775,chr15,"Homo sapiens ring finger protein 111 (RNF111), transcript variant 2, mRNA.",59389618,RNF111,59279864
8776,chr15,"Homo sapiens cyclin B2 (CCNB2), mRNA.",59417244,CCNB2,59397283
8777,chr15,"Homo sapiens lactate dehydrogenase A-like 6B (LDHAL6B), mRNA.",59500785,LDHAL6B,59499014
8778,chr15,"Homo sapiens family with sequence similarity 81, member A (FAM81A), mRNA.",59815751,FAM81A,59730371
8779,chr15,"Homo sapiens glucosaminyl (N-acetyl) transferase 3, mucin type (GCNT3), mRNA.",59912210,GCNT3,59903981
8780,chr15,"Homo sapiens forkhead box B1 (FOXB1), mRNA.",60328408,FOXB1,60296420
8781,chr15,Annexin II and uses thereof.,60641350,DJ439579,60641326
8782,chr15,Annexin II and uses thereof.,60643412,DJ439566,60643390
8783,chr15,Annexin II and uses thereof.,60643450,DJ439574,60643424
8784,chr15,Annexin II and uses thereof.,60644633,DJ439529,60644610
8785,chr4,Annexin II and uses thereof.,154229804,DJ439575,60674555
8786,chr15,Annexin II and uses thereof.,60678259,DJ439531,60678229
8787,chr15,"Homo sapiens hypothetical protein LOC283666, mRNA (cDNA clone IMAGE:5261845).",60823166,BC035094,60771379
8788,chr15,Homo sapiens cDNA clone IMAGE:5287572.,61897440,BC033962,61890712
8789,chr15,Homo sapiens cDNA clone IMAGE:4793458.,62353471,BC028842,62352737
8790,chr15,"Homo sapiens C2 calcium-dependent domain containing 4A (C2CD4A), mRNA.",62363116,C2CD4A,62359175
8791,chr15,"Homo sapiens piRNA piR-32467, complete sequence.",62519484,DQ582356,62519455
8792,chr15,"Homo sapiens piRNA piR-30280, complete sequence.",62521725,DQ571395,62521692
8793,chr15,"Homo sapiens piRNA piR-42778, complete sequence.",62523776,DQ587974,62523739
8794,chr15,"Homo sapiens piRNA piR-30768, complete sequence.",62524449,DQ579199,62524418
8795,chr15,"Homo sapiens piRNA piR-46283, complete sequence.",62531059,DQ584023,62531008
8796,chr15,"Homo sapiens piRNA piR-40649, complete sequence.",62531245,DQ573710,62531213
8797,chr15,"Homo sapiens piRNA piR-49980, complete sequence.",62531303,DQ598244,62531272
8798,chr15,"Homo sapiens piRNA piR-31733, complete sequence.",62531376,DQ579765,62531335
8799,chr15,"Homo sapiens piRNA piR-54112, complete sequence.",62531684,DQ587000,62531655
8800,chr15,"Homo sapiens piRNA piR-43571, complete sequence.",62531902,DQ600178,62531850
8801,chr15,"Homo sapiens piRNA piR-43539, complete sequence.",62531971,DQ586290,62531928
8802,chr15,"Homo sapiens piRNA piR-40743, complete sequence.",62532119,DQ595400,62532077
8803,chr15,"Homo sapiens piRNA piR-49345, complete sequence.",62532229,DQ585588,62532182
8804,chr15,"Homo sapiens piRNA piR-31714, complete sequence.",62532489,DQ575033,62532423
8805,chr15,"Homo sapiens piRNA piR-45522, complete sequence.",62532641,DQ577410,62532598
8806,chr15,"Homo sapiens piRNA piR-46295, complete sequence.",62532894,DQ578183,62532858
8807,chr15,"Homo sapiens piRNA piR-60053, complete sequence.",62533010,DQ601882,62532979
8808,chr15,"Homo sapiens piRNA piR-51712, complete sequence.",62533147,DQ596114,62533116
8809,chr15,"Homo sapiens piRNA piR-41388, complete sequence.",62533279,DQ600633,62533248
8810,chr15,"Homo sapiens piRNA piR-44437, complete sequence.",62533383,DQ601360,62533326
